Dong,복지_국민기초생활보장수급자_Autonomous Gu_Autonomous Gu,복지_국민기초생활보장수급자_Total recipients_Households,복지_국민기초생활보장수급자_Total recipients_Facility,복지_국민기초생활보장수급자_Total recipients_Persons,복지_국민기초생활보장수급자_General Recipients_Households,복지_국민기초생활보장수급자_General Recipients_Persons,복지_국민기초생활보장수급자_Conditional recipients_Households,복지_국민기초생활보장수급자_Conditional recipients_Persons,복지_국민기초생활보장수급자_Special recipients_Households,복지_국민기초생활보장수급자_Special recipients_Persons,복지_국민기초생활보장수급자_Institutional Recipients_Facility,복지_국민기초생활보장수급자_Institutional Recipients_Persons
Sinwol 2(i)-dong,Yangcheon-gu,196,1,300.0,170,245,22,44,4,10,1,1
Sinwol 3(sam)-dong,Yangcheon-gu,375,1,569.0,313,413,49,116,13,25,1,15
Sinwol 4(sa)-dong,Yangcheon-gu,119,1,178.0,103,146,10,21,6,8,1,3
Sinwol 5(o)-dong,Yangcheon-gu,174,1,268.0,151,204,19,42,4,12,1,10
Sinwol 6(yuk)-dong,Yangcheon-gu,122,1,192.0,109,163,7,14,6,14,1,1
Sinwol 7(chil)-dong,Yangcheon-gu,221,1,333.0,194,255,22,67,5,10,1,1
Sinjeong 1(il)-dong,Yangcheon-gu,83,1,123.0,73,95,9,22,1,1,1,5
Sinjeong 2(i)-dong,Yangcheon-gu,238,1,337.0,206,273,19,38,13,21,1,5
Sinjeong 3(sam)-dong,Yangcheon-gu,587,1,954.0,498,742,68,168,21,34,1,10
Sinjeong 6(yuk)-dong,Yangcheon-gu,13,1,14.0,13,13,-,-,-,-,1,1
Sinjeong 7(chil)-dong,Yangcheon-gu,581,1,870.0,489,696,65,128,27,42,1,4
Mok 5(o)-dong,Yangcheon-gu,15,-,18.0,15,18,-,-,-,-,-,-
Sinjeong 4(sa)-dong,Yangcheon-gu,386,1,589.0,335,471,42,95,9,19,1,4
Yeomchang-dong,Gangseo-gu,70,1,100.0,61,81,4,10,5,8,1,1
Deungchon 1(il)-dong,Gangseo-gu,104,1,170.0,90,125,12,41,2,2,1,2
Deungchon 2(i)-dong,Gangseo-gu,84,1,125.0,78,113,6,11,-,-,1,1
Deungchon 3(sam)-dong,Gangseo-gu,2961,1,5276.0,2516,4233,393,936,52,106,1,1
Hwagokbon-dong,Gangseo-gu,506,1,842.0,439,690,62,139,5,9,1,4
Hwagok 2(i)-dong,Gangseo-gu,210,1,345.0,180,265,18,47,12,32,1,1
Hwagok 3(sam)-dong,Gangseo-gu,136,1,276.0,120,172,10,22,6,20,1,62
Hwagok 4(sa)-dong,Gangseo-gu,266,1,435.0,224,332,36,90,6,11,1,2
Hwagok 6(yuk)-dong,Gangseo-gu,257,-,399.0,211,308,42,85,4,6,-,-
Hwagok 8(pal)-dong,Gangseo-gu,200,1,283.0,173,234,20,39,7,9,1,1
Gayang 1(il)-dong,Gangseo-gu,37,1,44.0,36,41,1,2,-,-,1,1
Gayang 2(i)-dong,Gangseo-gu,1638,1,2611.0,1434,2121,167,410,37,79,1,1
Gayang 3(sam)-dong,Gangseo-gu,1098,1,1832.0,951,1499,110,262,37,70,1,1
Balsan 1(il)-dong,Gangseo-gu,245,-,465.0,207,367,29,72,9,26,-,-
Gonghang-dong,Gangseo-gu,240,1,318.0,226,288,9,18,5,11,1,1
