Dong,외국인_등록외국인현황국적별_Autonomous Gu_Autonomous Gu_Autonomous Gu_Autonomous Gu,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_total,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_Female,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_total,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_Male,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_total,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_total,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_total,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_total,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_total,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_total,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _total,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _Male,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _Female,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_total,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_Female,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_total,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_Male,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_total,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_Female,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_total,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_Male,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_Female,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_total,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_Male,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_total,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_Female
Miseong-dong,Gwanak-gu,408.0,191.0,217,364,173,191,308,151,157,56,22,34,4,2,2,3,1,2,7,1,6,7,-,7,2,1,1,4,-,4,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,2,2,-,1,1,-,13,9,4
Seocho 1(il)-dong,Seocho-gu,309.0,165.0,144,141,62,79,89,31,58,52,31,21,41,25,16,15,3,12,40,31,9,9,5,4,2,1,1,4,1,3,11,8,3,2,2,-,3,1,2,8,5,3,1,-,1,2,2,-,5,2,3,25,17,8
Seocho 2(i)-dong,Seocho-gu,534.0,358.0,176,112,62,50,50,18,32,62,44,18,116,75,41,21,11,10,79,66,13,2,1,1,5,4,1,5,2,3,25,13,12,-,-,-,11,6,5,24,17,7,2,1,1,15,12,3,29,23,6,88,65,23
Seocho 3(sam)-dong,Seocho-gu,365.0,178.0,187,201,86,115,136,50,86,65,36,29,51,30,21,5,2,3,16,8,8,6,3,3,2,-,2,10,6,4,16,9,7,1,-,1,2,-,2,13,6,7,4,-,4,2,2,-,3,2,1,33,24,9
Seocho 4(sa)-dong,Seocho-gu,299.0,187.0,112,70,33,37,34,7,27,36,26,10,48,31,17,4,1,3,44,35,9,1,-,1,1,-,1,1,-,1,24,16,8,-,-,-,1,1,-,10,8,2,-,-,-,21,17,4,12,8,4,62,37,25
Jamwon-dong,Seocho-gu,289.0,142.0,147,193,93,100,123,48,75,70,45,25,30,18,12,6,4,2,18,4,14,4,4,-,-,-,-,3,1,2,12,8,4,-,-,-,3,1,2,1,1,-,2,-,2,2,2,-,2,1,1,13,5,8
Banpobon-dong,Seocho-gu,92.0,46.0,46,33,13,20,21,4,17,12,9,3,16,11,5,2,1,1,8,3,5,-,-,-,-,-,-,-,-,-,3,2,1,-,-,-,-,-,-,-,-,-,1,-,1,7,4,3,10,6,4,12,6,6
Banpo 1(il)-dong,Seocho-gu,361.0,186.0,175,174,79,95,133,58,75,41,21,20,60,39,21,10,3,7,29,14,15,3,2,1,1,1,-,4,1,3,15,10,5,-,-,-,2,1,1,-,-,-,4,2,2,5,3,2,8,5,3,46,26,20
Banpo 2(i)-dong,Seocho-gu,86.0,47.0,39,13,7,6,6,2,4,7,5,2,22,12,10,-,-,-,9,6,3,-,-,-,-,-,-,4,-,4,8,6,2,-,-,-,-,-,-,5,4,1,-,-,-,1,1,-,4,2,2,20,9,11
Banpo 3(sam)-dong,Seocho-gu,48.0,21.0,27,21,10,11,4,-,4,17,10,7,6,3,3,10,4,6,5,1,4,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,2,1,1
Banpo 4(sa)-dong,Seocho-gu,564.0,295.0,269,66,29,37,31,7,24,35,22,13,89,53,36,26,11,15,17,6,11,5,2,3,3,1,2,24,2,22,18,7,11,-,-,-,9,3,6,6,3,3,3,3,-,13,7,6,211,129,82,74,39,35
Bangbaebon-dong,Seocho-gu,233.0,112.0,121,74,27,47,46,13,33,28,14,14,33,20,13,4,3,1,10,2,8,3,-,3,-,-,-,8,-,8,6,5,1,2,1,1,2,1,1,-,-,-,4,2,2,6,3,3,48,33,15,33,15,18
Bangbae 1(il)-dong,Seocho-gu,156.0,62.0,94,103,43,60,82,30,52,21,13,8,8,3,5,7,4,3,7,1,6,3,1,2,-,-,-,3,-,3,9,3,6,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,2,1,1,12,5,7
Bangbae 2(i)-dong,Seocho-gu,276.0,135.0,141,221,111,110,187,94,93,34,17,17,5,1,4,4,1,3,10,4,6,14,4,10,-,-,-,2,1,1,1,1,-,-,-,-,1,1,-,-,-,-,1,-,1,2,2,-,3,3,-,12,6,6
Bangbae 3(sam)-dong,Seocho-gu,146.0,70.0,76,112,52,60,81,38,43,31,14,17,11,6,5,3,1,2,8,5,3,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,1,1,-,-,-,-,-,-,1,1,-,4,3,1
Bangbae 4(sa)-dong,Seocho-gu,330.0,161.0,169,69,28,41,45,15,30,24,13,11,42,28,14,4,-,4,22,7,15,9,2,7,-,-,-,10,-,10,13,10,3,-,-,-,2,-,2,-,-,-,2,-,2,6,2,4,111,63,48,40,21,19
Yangjae 1(il)-dong,Seocho-gu,419.0,205.0,214,236,97,139,176,62,114,60,35,25,22,17,5,17,10,7,31,10,21,16,7,9,1,-,1,8,3,5,5,3,2,-,-,-,4,1,3,9,6,3,10,8,2,5,4,1,3,3,-,52,36,16
Yangjae 2(i)-dong,Seocho-gu,318.0,146.0,172,214,91,123,157,60,97,57,31,26,19,13,6,2,1,1,13,6,7,12,2,10,7,5,2,4,1,3,2,1,1,5,2,3,1,1,-,4,4,-,4,3,1,4,2,2,3,3,-,24,11,13
Naegok-dong,Seocho-gu,55.0,24.0,31,35,13,22,29,12,17,6,1,5,2,2,-,1,-,1,1,-,1,5,-,5,7,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,3,2,1
Sinsa-dong,Gangnam-gu,284.0,158.0,126,100,43,57,68,23,45,32,20,12,65,39,26,21,10,11,24,11,13,1,1,-,-,-,-,1,-,1,17,12,5,1,-,1,3,1,2,9,9,-,6,6,-,3,2,1,4,3,1,29,21,8
Nonhyeon 1(il)-dong,Gangnam-gu,557.0,286.0,271,333,157,176,244,91,153,89,66,23,50,32,18,29,18,11,44,22,22,9,5,4,6,3,3,7,3,4,14,11,3,8,1,7,5,-,5,1,1,-,8,6,2,5,5,-,9,5,4,29,17,12
Nonhyeon 2(i)-dong,Gangnam-gu,315.0,188.0,127,115,56,59,55,20,35,60,36,24,15,12,3,15,4,11,31,8,23,35,32,3,1,1,-,3,2,1,5,2,3,2,-,2,1,1,-,18,16,2,21,21,-,2,1,1,-,-,-,51,32,19
Samseong 1(il)-dong,Gangnam-gu,488.0,296.0,192,151,75,76,66,13,53,85,62,23,66,43,23,4,2,2,55,35,20,23,22,1,-,-,-,8,1,7,10,9,1,-,-,-,3,1,2,9,6,3,5,1,4,10,7,3,7,5,2,137,89,48
Samseong 2(i)-dong,Gangnam-gu,190.0,115.0,75,63,26,37,22,7,15,41,19,22,31,25,6,11,8,3,28,17,11,3,2,1,-,-,-,1,-,1,10,8,2,1,-,1,-,-,-,-,-,-,-,-,-,5,4,1,5,4,1,32,21,11
Daechi 1(il)-dong,Gangnam-gu,198.0,104.0,94,89,46,43,57,21,36,32,25,7,49,27,22,6,-,6,22,17,5,2,1,1,2,1,1,-,-,-,9,1,8,-,-,-,3,-,3,3,3,-,-,-,-,2,1,1,-,-,-,11,7,4
Daechi 4(sa)-dong,Gangnam-gu,290.0,162.0,128,114,53,61,64,26,38,50,27,23,55,33,22,7,5,2,45,35,10,1,1,-,5,2,3,2,-,2,18,7,11,6,4,2,2,-,2,9,7,2,2,-,2,7,6,1,1,1,-,16,8,8
Yeoksam 1(il)-dong,Gangnam-gu,1209.0,698.0,511,434,210,224,235,82,153,199,128,71,162,98,64,15,9,6,139,87,52,21,14,7,4,-,4,52,36,16,48,27,21,9,3,6,15,3,12,61,45,16,13,5,8,34,28,6,41,29,12,161,104,57
Yeoksam 2(i)-dong,Gangnam-gu,323.0,187.0,136,75,34,41,44,15,29,31,19,12,33,20,13,9,5,4,80,62,18,4,2,2,-,-,-,5,2,3,9,7,2,7,2,5,1,-,1,37,22,15,1,-,1,2,1,1,11,5,6,49,25,24
Dogok 1(il)-dong,Gangnam-gu,210.0,110.0,100,92,40,52,69,29,40,23,11,12,32,22,10,6,3,3,38,23,15,9,1,8,1,-,1,1,1,-,9,8,1,2,1,1,-,-,-,-,-,-,2,1,1,-,-,-,3,1,2,15,9,6
Dogok 2(i)-dong,Gangnam-gu,214.0,129.0,85,40,23,17,14,4,10,26,19,7,31,19,12,9,7,2,27,14,13,3,3,-,-,-,-,6,5,1,6,3,3,-,-,-,1,1,-,9,7,2,1,-,1,4,3,1,-,-,-,77,44,33
Gaepo 1(il)-dong,Gangnam-gu,156.0,69.0,87,89,39,50,73,34,39,16,5,11,15,10,5,6,4,2,12,2,10,6,-,6,-,-,-,6,2,4,4,2,2,1,1,-,1,-,1,-,-,-,2,-,2,-,-,-,-,-,-,14,9,5
Gaepo 4(sa)-dong,Gangnam-gu,112.0,51.0,61,71,33,38,57,25,32,14,8,6,11,9,2,3,2,1,7,1,6,5,-,5,1,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,1,1,-,-,-,10,4,6
Irwonbon-dong,Gangnam-gu,51.0,18.0,33,15,2,13,12,2,10,3,-,3,6,5,1,-,-,-,3,-,3,2,-,2,2,2,-,-,-,-,2,-,2,-,-,-,5,1,4,-,-,-,5,4,1,1,-,1,-,-,-,10,4,6
Irwon 1(il)-dong,Gangnam-gu,144.0,65.0,79,106,47,59,90,41,49,16,6,10,14,8,6,4,1,3,3,1,2,3,-,3,2,-,2,-,-,-,5,4,1,3,1,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,3,2,1
Irwon 2(i)-dong,Gangnam-gu,35.0,20.0,15,20,12,8,8,3,5,12,9,3,4,2,2,-,-,-,2,1,1,1,-,1,2,2,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,3,1,2
Suseo-dong,Gangnam-gu,144.0,53.0,91,47,13,34,35,13,22,12,-,12,9,5,4,1,-,1,14,5,9,9,-,9,-,-,-,2,-,2,4,3,1,7,4,3,5,2,3,2,1,1,2,-,2,2,2,-,-,-,-,40,18,22
Segok-dong,Gangnam-gu,85.0,46.0,39,35,16,19,23,10,13,12,6,6,3,3,-,1,1,-,9,1,8,27,21,6,-,-,-,3,-,3,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,5,3,2
Apgujeong -dong,Gangnam-gu,189.0,91.0,98,62,20,42,30,4,26,32,16,16,54,34,20,5,4,1,30,6,24,4,3,1,-,-,-,1,-,1,11,9,2,-,-,-,-,-,-,1,1,-,7,5,2,3,1,2,2,2,-,9,6,3
Cheongdam -dong,Gangnam-gu,308.0,154.0,154,122,54,68,66,27,39,56,27,29,69,40,29,8,4,4,35,23,12,6,-,6,1,-,1,4,-,4,9,3,6,2,-,2,4,1,3,2,1,1,8,4,4,4,1,3,5,3,2,29,20,9
Daechi 2(i)-dong,Gangnam-gu,259.0,138.0,121,120,52,68,70,29,41,50,23,27,41,26,15,3,-,3,20,13,7,8,4,4,-,-,-,9,2,7,10,10,-,1,-,1,1,-,1,15,9,6,-,-,-,3,1,2,7,6,1,21,15,6
Gaepo 2(i)-dong,Gangnam-gu,92.0,38.0,54,72,27,45,60,24,36,12,3,9,7,6,1,-,-,-,6,2,4,2,-,2,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,2,1
Pungnap 1(il)-dong,Songpa-gu,931.0,451.0,480,867,425,442,782,402,380,85,23,62,3,2,1,2,-,2,5,-,5,10,1,9,12,5,7,5,2,3,7,5,2,3,-,3,3,1,2,3,2,1,-,-,-,6,4,2,-,-,-,5,4,1
Pungnap 2(i)-dong,Songpa-gu,158.0,58.0,100,70,26,44,41,18,23,29,8,21,32,16,16,1,1,-,5,-,5,9,-,9,3,1,2,1,-,1,8,2,6,1,-,1,4,1,3,1,1,-,-,-,-,1,1,-,-,-,-,22,9,13
Geoyeo 1(il)-dong,Songpa-gu,193.0,71.0,122,139,57,82,118,51,67,21,6,15,3,3,-,2,-,2,6,-,6,19,1,18,8,3,5,3,-,3,2,2,-,2,-,2,1,-,1,-,-,-,2,-,2,-,-,-,-,-,-,6,5,1
Geoyeo 2(i)-dong,Songpa-gu,141.0,53.0,88,104,43,61,89,42,47,15,1,14,2,1,1,2,2,-,11,2,9,4,-,4,4,1,3,3,-,3,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,1,-,8,2,6
Macheon 1(il)-dong,Songpa-gu,269.0,86.0,183,198,74,124,161,66,95,37,8,29,1,1,-,1,-,1,8,-,8,27,1,26,4,1,3,10,2,8,1,1,-,2,-,2,1,-,1,1,1,-,4,-,4,-,-,-,-,-,-,11,5,6
Macheon 2(i)-dong,Songpa-gu,223.0,86.0,137,165,74,91,118,54,64,47,20,27,-,-,-,3,2,1,4,-,4,25,1,24,4,2,2,8,1,7,-,-,-,3,2,1,2,1,1,-,-,-,3,1,2,-,-,-,-,-,-,6,2,4
Bangi 1(il)-dong,Songpa-gu,239.0,127.0,112,144,69,75,114,52,62,30,17,13,23,15,8,9,6,3,7,1,6,10,3,7,3,1,2,-,-,-,7,5,2,4,1,3,-,-,-,1,1,-,7,6,1,7,5,2,1,1,-,16,13,3
Bangi 2(i)-dong,Songpa-gu,384.0,164.0,220,285,117,168,233,98,135,52,19,33,15,8,7,3,2,1,14,-,14,15,8,7,4,4,-,2,-,2,16,10,6,3,-,3,2,1,1,3,3,-,2,2,-,5,2,3,1,-,1,14,7,7
Oryun-dong,Songpa-gu,28.0,16.0,12,9,2,7,5,-,5,4,2,2,16,12,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,2,1,1
Ogeum-dong,Songpa-gu,191.0,84.0,107,115,52,63,84,42,42,31,10,21,11,6,5,10,3,7,4,1,3,11,2,9,4,3,1,17,7,10,3,1,2,3,2,1,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,11,6,5
Songpa 1(il)-dong,Songpa-gu,516.0,265.0,251,416,201,215,365,185,180,51,16,35,20,12,8,6,3,3,13,6,7,25,20,5,6,6,-,9,6,3,8,2,6,-,-,-,3,1,2,-,-,-,1,-,1,3,2,1,1,1,-,5,5,-
Songpa 2(i)-dong,Songpa-gu,172.0,86.0,86,153,78,75,124,67,57,29,11,18,7,3,4,2,-,2,2,1,1,2,-,2,-,-,-,-,-,-,3,2,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,2,2,-
Seokchon-dong,Songpa-gu,762.0,357.0,405,667,320,347,590,292,298,77,28,49,20,12,8,8,3,5,10,-,10,17,2,15,2,-,2,9,3,6,7,4,3,-,-,-,1,-,1,-,-,-,9,7,2,-,-,-,-,-,-,12,6,6
Samjeon-dong,Songpa-gu,378.0,166.0,212,230,98,132,190,80,110,40,18,22,48,23,25,14,12,2,11,5,6,19,4,15,2,1,1,12,2,10,11,2,9,3,1,2,-,-,-,-,-,-,3,1,2,6,5,1,2,2,-,17,10,7
Garakbon-dong,Songpa-gu,401.0,200.0,201,316,164,152,260,135,125,56,29,27,26,16,10,6,3,3,9,1,8,11,2,9,3,-,3,8,1,7,7,6,1,3,1,2,-,-,-,-,-,-,1,-,1,3,1,2,-,-,-,8,5,3
Garak 1(il)-dong,Songpa-gu,83.0,49.0,34,75,44,31,69,39,30,6,5,1,1,1,-,-,-,-,1,1,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-
Garak 2(i)-dong,Songpa-gu,192.0,93.0,99,153,78,75,128,64,64,25,14,11,9,4,5,4,1,3,4,1,3,11,2,9,-,-,-,2,1,1,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,4,2
Munjeong 1(il)-dong,Songpa-gu,215.0,98.0,117,159,72,87,135,65,70,24,7,17,8,5,3,9,6,3,8,3,5,11,3,8,-,-,-,9,3,6,2,1,1,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,1,1,-,6,4,2
Munjeong 2(i)-dong,Songpa-gu,62.0,37.0,25,23,12,11,14,9,5,9,3,6,4,4,-,2,-,2,1,-,1,5,-,5,1,1,-,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,15,14,1,-,-,-,-,-,-,8,4,4
Jangji-dong,Songpa-gu,137.0,52.0,85,72,28,44,51,20,31,21,8,13,5,1,4,7,3,4,17,2,15,8,2,6,3,3,-,5,2,3,2,1,1,-,-,-,3,-,3,-,-,-,1,-,1,-,-,-,-,-,-,14,10,4
Jamsilbon-dong,Songpa-gu,744.0,380.0,364,549,250,299,462,207,255,87,43,44,18,10,8,10,1,9,34,24,10,59,44,15,3,2,1,2,-,2,14,10,4,1,-,1,3,1,2,4,2,2,5,4,1,6,5,1,-,-,-,36,27,9
Jamsil 4(sa)-dong,Songpa-gu,93.0,50.0,43,29,10,19,14,3,11,15,7,8,14,12,2,3,1,2,27,15,12,-,-,-,-,-,-,1,-,1,3,3,-,3,1,2,-,-,-,1,1,-,4,4,-,2,1,1,-,-,-,6,2,4
Jamsil 6(yuk)-dong,Songpa-gu,43.0,27.0,16,11,4,7,4,2,2,7,2,5,7,6,1,5,3,2,8,5,3,-,-,-,-,-,-,2,1,1,1,1,-,-,-,-,-,-,-,3,2,1,1,1,-,2,2,-,2,1,1,1,1,-
Jamsil 7(chil)-dong,Songpa-gu,17.0,10.0,7,4,-,4,3,-,3,1,-,1,12,10,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamsil 2(i)-dong,Songpa-gu,130.0,72.0,58,42,18,24,18,7,11,24,11,13,23,16,7,9,6,3,27,16,11,-,-,-,-,-,-,2,-,2,3,2,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,22,13,9
Jamsil 3(sam)-dong,Songpa-gu,130.0,82.0,48,39,20,19,12,5,7,27,15,12,14,11,3,5,2,3,46,31,15,-,-,-,-,-,-,-,-,-,3,2,1,1,1,-,2,-,2,-,-,-,-,-,-,3,3,-,2,2,-,15,10,5
Gangil-dong,Gangdong-gu,254.0,136.0,118,56,17,39,36,12,24,20,5,15,2,2,-,6,2,4,12,2,10,35,19,16,2,1,1,57,39,18,1,-,1,-,-,-,-,-,-,34,19,15,-,-,-,1,1,-,2,1,1,46,33,13
Sangil-dong,Gangdong-gu,188.0,77.0,111,69,28,41,54,24,30,15,4,11,5,4,1,1,1,-,15,2,13,22,5,17,7,4,3,22,10,12,-,-,-,-,-,-,1,-,1,4,3,1,2,1,1,-,-,-,-,-,-,40,19,21
Myeongil 1(il)-dong,Gangdong-gu,113.0,40.0,73,57,16,41,33,10,23,24,6,18,12,8,4,3,1,2,8,2,6,10,1,9,1,-,1,-,-,-,4,2,2,5,2,3,1,-,1,-,-,-,1,-,1,2,2,-,-,-,-,9,6,3
Myeongil 2(i)-dong,Gangdong-gu,27.0,15.0,12,9,4,5,7,3,4,2,1,1,6,2,4,-,-,-,2,1,1,1,1,-,-,-,-,-,-,-,2,2,-,1,-,1,-,-,-,-,-,-,3,3,-,1,1,-,-,-,-,2,1,1
Godeok 1(il)-dong,Gangdong-gu,120.0,52.0,68,51,13,38,34,11,23,17,2,15,1,1,-,1,-,1,14,10,4,12,2,10,9,4,5,-,-,-,1,1,-,2,-,2,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,26,18,8
Godeok 2(i)-dong,Gangdong-gu,99.0,41.0,58,71,35,36,58,33,25,13,2,11,-,-,-,-,-,-,6,-,6,7,-,7,2,1,1,1,-,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,10,3,7
Amsa 2(i)-dong,Gangdong-gu,49.0,25.0,24,28,18,10,24,16,8,4,2,2,3,3,-,1,-,1,4,-,4,3,-,3,2,-,2,1,-,1,2,2,-,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,3,1,2
Amsa 3(sam)-dong,Gangdong-gu,19.0,13.0,6,7,4,3,7,4,3,-,-,-,-,-,-,2,2,-,5,4,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,2,2,-
Cheonho 1(il)-dong,Gangdong-gu,560.0,226.0,334,440,192,248,365,170,195,75,22,53,8,6,2,6,4,2,11,-,11,41,4,37,17,8,9,16,6,10,3,3,-,6,-,6,1,1,-,-,-,-,2,-,2,-,-,-,-,-,-,9,2,7
Cheonho 3(sam)-dong,Gangdong-gu,455.0,207.0,248,381,178,203,326,157,169,55,21,34,15,10,5,2,1,1,8,3,5,12,-,12,3,-,3,10,1,9,7,6,1,1,-,1,-,-,-,5,4,1,1,-,1,1,1,-,-,-,-,9,3,6
Seongnae 1(il)-dong,Gangdong-gu,263.0,116.0,147,183,88,95,150,77,73,33,11,22,17,8,9,1,-,1,8,1,7,17,3,14,2,1,1,7,-,7,9,5,4,1,-,1,3,1,2,-,-,-,-,-,-,1,1,-,-,-,-,14,8,6
Seongnae 2(i)-dong,Gangdong-gu,596.0,276.0,320,529,249,280,462,221,241,67,28,39,3,1,2,3,3,-,11,4,7,13,4,9,7,-,7,6,3,3,1,1,-,3,1,2,-,-,-,1,1,-,1,-,1,1,1,-,-,-,-,17,8,9
Seongnae 3(sam)-dong,Gangdong-gu,231.0,102.0,129,158,80,78,119,58,61,39,22,17,16,5,11,5,1,4,10,3,7,12,1,11,-,-,-,3,-,3,8,1,7,-,-,-,-,-,-,1,-,1,2,-,2,-,-,-,-,-,-,16,11,5
Dunchon 1(il)-dong,Gangdong-gu,69.0,31.0,38,29,8,21,20,7,13,9,1,8,5,3,2,5,3,2,4,1,3,11,8,3,-,-,-,2,-,2,-,-,-,1,-,1,-,-,-,-,-,-,4,2,2,2,2,-,-,-,-,6,4,2
Dunchon 2(i)-dong,Gangdong-gu,128.0,58.0,70,85,34,51,69,26,43,16,8,8,2,2,-,1,-,1,9,4,5,10,4,6,-,-,-,1,-,1,2,2,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,15,11,4
Amsa 1(il)-dong,Gangdong-gu,435.0,161.0,274,311,135,176,254,123,131,57,12,45,6,2,4,10,6,4,18,1,17,37,-,37,9,1,8,12,2,10,14,5,9,-,-,-,1,-,1,-,-,-,2,-,2,1,1,-,-,-,-,14,8,6
Cheonho 2(i)-dong,Gangdong-gu,780.0,375.0,405,644,321,323,545,285,260,99,36,63,12,10,2,8,6,2,11,1,10,31,1,30,30,12,18,13,1,12,3,3,-,6,2,4,3,1,2,6,5,1,-,-,-,3,3,-,-,-,-,10,9,1
Gil-dong,Gangdong-gu,383.0,143.0,240,244,99,145,196,89,107,48,10,38,16,9,7,5,1,4,15,2,13,38,2,36,-,-,-,16,8,8,9,6,3,4,1,3,4,2,2,-,-,-,2,-,2,1,-,1,-,-,-,29,13,16
