Dong,사업_사업체및종사자밀도_Period,사업_사업체및종사자밀도_Gu,사업_사업체및종사자밀도_No. of establishments,사업_사업체및종사자밀도_No. of employee,사업_사업체및종사자밀도_Average worker,사업_사업체및종사자밀도_Establishments density,사업_사업체및종사자밀도_종사자밀도,사업_사업체및종사자밀도_Population density,사업_사업체및종사자밀도_종사자밀도비
Ujangsan-dong,2013.0,Gangseo-gu,1574.0,5940.0,3.77,1157.0,4368.0,29216.0,14.95
Sindorim-dong,2013.0,Guro-gu,2569.0,13854.0,5.39,1748.0,9424.0,25930.0,36.35
Guro 1(il)-dong,2013.0,Guro-gu,675.0,2971.0,4.4,662.0,2913.0,22562.0,12.91
Guro 3(sam)-dong,2013.0,Guro-gu,5737.0,78879.0,13.75,5625.0,77332.0,28387.0,272.42
Guro 4(sa)-dong,2013.0,Guro-gu,2011.0,5476.0,2.72,4372.0,11904.0,65576.0,18.15
Guro 5(o)-dong,2013.0,Guro-gu,4619.0,24401.0,5.28,4484.0,23690.0,34275.0,69.12
Gocheok 1(il)-dong,2013.0,Guro-gu,2456.0,7829.0,3.19,2117.0,6749.0,22071.0,30.58
Gocheok 2(i)-dong,2013.0,Guro-gu,1155.0,3432.0,2.97,1132.0,3365.0,30832.0,10.91
Gaebong 2(i)-dong,2013.0,Guro-gu,1170.0,2703.0,2.31,1463.0,3379.0,43964.0,7.69
Gaebong 3(sam)-dong,2013.0,Guro-gu,1002.0,3803.0,3.8,1237.0,4695.0,27757.0,16.92
Oryu 1(il)-dong,2013.0,Guro-gu,1080.0,4353.0,4.03,1831.0,7378.0,36563.0,20.18
Oryu 2(i)-dong,2013.0,Guro-gu,1406.0,6306.0,4.49,306.0,1371.0,9019.0,15.2
Sugung-dong,2013.0,Guro-gu,1091.0,5602.0,5.13,409.0,2098.0,9770.0,21.47
Garibong-dong,2013.0,Guro-gu,1032.0,2877.0,2.79,2580.0,7193.0,48768.0,14.75
Guro 2(i)-dong,2013.0,Guro-gu,7577.0,25793.0,3.4,4305.0,14655.0,22195.0,66.03
Gaebong 1(il)-dong,2013.0,Guro-gu,1772.0,5381.0,3.04,1353.0,4108.0,26100.0,15.74
