Dong,사업_사업체현황조직형태별_Gu_Gu_Gu,사업_사업체현황조직형태별_합계_사업체수_사업체수,사업_사업체현황조직형태별_합계_사업체수_여성대표자,사업_사업체현황조직형태별_합계_종사자수_계,사업_사업체현황조직형태별_합계_종사자수_남,사업_사업체현황조직형태별_합계_종사자수_여,사업_사업체현황조직형태별_개인_사업체수_사업체수,사업_사업체현황조직형태별_개인_종사자수_종사자수,사업_사업체현황조직형태별_회사법인_사업체수_사업체수,사업_사업체현황조직형태별_회사법인_종사자수_종사자수,사업_사업체현황조직형태별_회사이외의 법인_사업체수_사업체수,사업_사업체현황조직형태별_회사이외의 법인_종사자수_종사자수,사업_사업체현황조직형태별_비법인단체_사업체수_사업체수,사업_사업체현황조직형태별_비법인단체_종사자수_종사자수
Jeongneung 4(sa)-dong,Seongbuk_gu,871.0,288.0,3870.0,2417.0,1453.0,767.0,1659.0,34.0,1186.0,18.0,820.0,52.0,205.0
Gireum 1(il)-dong,Seongbuk_gu,1151.0,491.0,3619.0,1516.0,2103.0,1050.0,2382.0,48.0,466.0,19.0,540.0,34.0,231.0
Gireum 2(i)-dong,Seongbuk_gu,1116.0,529.0,4612.0,1978.0,2634.0,972.0,2724.0,82.0,1289.0,14.0,386.0,48.0,213.0
Wolgok 1(il)-dong,Seongbuk_gu,1192.0,449.0,4899.0,2639.0,2260.0,1040.0,2653.0,83.0,1284.0,24.0,743.0,45.0,219.0
Wolgok 2(i)-dong,Seongbuk_gu,1798.0,568.0,8745.0,4226.0,4519.0,1600.0,3590.0,105.0,843.0,45.0,4076.0,48.0,236.0
Jangwi 1(il)-dong,Seongbuk_gu,1131.0,381.0,2838.0,1356.0,1482.0,1052.0,2173.0,29.0,351.0,12.0,196.0,38.0,118.0
Jangwi 2(i)-dong,Seongbuk_gu,1663.0,593.0,5078.0,2729.0,2349.0,1551.0,3547.0,57.0,1033.0,16.0,373.0,39.0,125.0
Jangwi 3(sam)-dong,Seongbuk_gu,1212.0,360.0,4452.0,2582.0,1870.0,1106.0,2630.0,57.0,1289.0,16.0,406.0,33.0,127.0
Seongbuk-dong,Seongbuk_gu,1021.0,380.0,5115.0,2482.0,2633.0,778.0,1993.0,147.0,2033.0,41.0,806.0,55.0,283.0
Samseon-dong,Seongbuk_gu,1866.0,705.0,9510.0,4960.0,4550.0,1607.0,3624.0,149.0,2139.0,54.0,3578.0,56.0,169.0
Dongseon-dong,Seongbuk_gu,1974.0,774.0,10170.0,4497.0,5673.0,1709.0,5000.0,171.0,2331.0,46.0,2632.0,48.0,207.0
Jongam-dong,Seongbuk_gu,2093.0,769.0,7550.0,3905.0,3645.0,1899.0,4312.0,97.0,1467.0,32.0,1246.0,65.0,525.0
Seokgwan-dong,Seongbuk_gu,2255.0,746.0,8217.0,4834.0,3383.0,2068.0,4710.0,116.0,2371.0,26.0,995.0,45.0,141.0
Beon 1(il)-dong,Gangbuk-gu,1693.0,637.0,8783.0,3806.0,4977.0,1428.0,3626.0,210.0,4081.0,22.0,865.0,33.0,211.0
Beon 2(i)-dong,Gangbuk-gu,653.0,160.0,3128.0,2001.0,1127.0,553.0,1094.0,39.0,919.0,25.0,982.0,36.0,133.0
Beon 3(sam)-dong,Gangbuk-gu,831.0,195.0,2556.0,1491.0,1065.0,750.0,1413.0,27.0,568.0,21.0,419.0,33.0,156.0
Suyu 1(il)-dong,Gangbuk-gu,1578.0,595.0,5125.0,2500.0,2625.0,1420.0,2908.0,59.0,1002.0,27.0,818.0,72.0,397.0
Suyu 2(i)-dong,Gangbuk-gu,1365.0,494.0,4357.0,2074.0,2283.0,1222.0,2844.0,51.0,918.0,16.0,209.0,76.0,386.0
Suyu 3(sam)-dong,Gangbuk-gu,2379.0,967.0,8413.0,3779.0,4634.0,2178.0,5380.0,140.0,1544.0,22.0,1349.0,39.0,140.0
Samyang-dong,Gangbuk-gu,1228.0,451.0,3331.0,1540.0,1791.0,1120.0,2223.0,17.0,389.0,21.0,407.0,70.0,312.0
Mia-dong,Gangbuk-gu,1967.0,627.0,6580.0,3085.0,3495.0,1795.0,3988.0,93.0,1264.0,38.0,1078.0,41.0,250.0
Songjung-dong,Gangbuk-gu,2009.0,748.0,8463.0,3917.0,4546.0,1776.0,4783.0,130.0,2046.0,34.0,1338.0,69.0,296.0
Songcheon-dong,Gangbuk-gu,2268.0,874.0,7272.0,3324.0,3948.0,2068.0,5028.0,110.0,1214.0,27.0,808.0,63.0,222.0
