Dong,사업_사업체현황종사자규모별_Gu_Gu_Gu,사업_사업체현황종사자규모별_합계_사업체수_사업체수,사업_사업체현황종사자규모별_합계_사업체수_여성대표자,사업_사업체현황종사자규모별_합계_종사자수_계,사업_사업체현황종사자규모별_합계_종사자수_남,사업_사업체현황종사자규모별_합계_종사자수_여,사업_사업체현황종사자규모별_1~4명_사업체수_사업체수,사업_사업체현황종사자규모별_1~4명_종사자수_종사자수,사업_사업체현황종사자규모별_5~9명_사업체수_사업체수,사업_사업체현황종사자규모별_5~9명_종사자수_종사자수,사업_사업체현황종사자규모별_10~19명_사업체수_사업체수,사업_사업체현황종사자규모별_10~19명_종사자수_종사자수,사업_사업체현황종사자규모별_20~49명_사업체수_사업체수,사업_사업체현황종사자규모별_20~49명_종사자수_종사자수,사업_사업체현황종사자규모별_50~99명_사업체수_사업체수,사업_사업체현황종사자규모별_50~99명_종사자수_종사자수,사업_사업체현황종사자규모별_100~299명_사업체수_사업체수,사업_사업체현황종사자규모별_100~299명_종사자수_종사자수,사업_사업체현황종사자규모별_300~499명_사업체수_사업체수,사업_사업체현황종사자규모별_300~499명_종사자수_종사자수,사업_사업체현황종사자규모별_500~999명_사업체수_사업체수,사업_사업체현황종사자규모별_500~999명_종사자수_종사자수,"사업_사업체현황종사자규모별_1,000명 이상_사업체수_사업체수","사업_사업체현황종사자규모별_1,000명 이상_종사자수_종사자수"
Gonghang-dong,Gangseo-gu,1822.0,596.0,33019.0,17128.0,15891.0,1394.0,2545.0,239.0,1559.0,96.0,1289.0,55,1697,18,1204,14,2480,3,1111,1,774,2,20360
Banghwa 1(il)-dong,Gangseo-gu,1957.0,719.0,7140.0,3605.0,3535.0,1709.0,2700.0,151.0,952.0,54.0,699.0,24,723,12,825,6,787,1,454,-,-,-,-
Banghwa 2(i)-dong,Gangseo-gu,3160.0,829.0,12658.0,8202.0,4456.0,2804.0,4040.0,196.0,1257.0,73.0,941.0,54,1657,17,1203,13,1892,-,-,3,1668,-,-
Banghwa 3(sam)-dong,Gangseo-gu,853.0,236.0,3824.0,2386.0,1438.0,729.0,1030.0,63.0,427.0,32.0,427.0,16,492,8,550,4,577,1,321,-,-,-,-
Hwagok 1(il)-dong,Gangseo-gu,2987.0,1150.0,8395.0,4296.0,4099.0,2601.0,4438.0,288.0,1805.0,69.0,908.0,21,506,5,335,3,403,-,-,-,-,-,-
Ujangsan-dong,Gangseo-gu,1574.0,622.0,5940.0,2795.0,3145.0,1317.0,2097.0,156.0,1002.0,63.0,823.0,20,558,17,1311,1,149,-,-,-,-,-,-
Sindorim-dong,Guro-gu,2569.0,725.0,13854.0,7452.0,6402.0,2007.0,3722.0,344.0,2139.0,127.0,1681.0,64,1902,15,1075,9,1451,1,434,2,1450,-,-
Guro 1(il)-dong,Guro-gu,675.0,236.0,2971.0,1517.0,1454.0,557.0,907.0,74.0,470.0,33.0,430.0,5,134,3,247,2,353,1,430,-,-,-,-
Guro 3(sam)-dong,Guro-gu,5737.0,1153.0,78879.0,50506.0,28373.0,2732.0,5916.0,1376.0,9167.0,819.0,11042.0,554,16632,148,10190,90,14572,10,4098,6,3927,2,3335
Guro 4(sa)-dong,Guro-gu,2011.0,906.0,5476.0,2483.0,2993.0,1821.0,3117.0,135.0,833.0,34.0,449.0,16,464,3,170,2,443,-,-,-,-,-,-
